mode,horizon,lookback,dqs,uplift_ret,uplift_win,precision,recall,f1,pass_rate,samples,p_norm,ic
geom_only,5,60,0.3472186239259645,0.0017155130012274419,0.0452126740610207,0.5606060606060606,0.6481121058777735,0.6011915508214478,0.6287044877222693,4724.0,0.1654032781884705,0.019892994742024248
geom_only,5,90,0.47309341327038523,0.002161261135658033,0.07158424535591967,0.5665942253958398,0.7103931490852472,0.6303972366148531,0.6818374259102455,4724.0,0.11031808693716968,0.024159905517716875
geom_only,5,120,0.18316407265911883,0.0014639945916558273,0.04463999468175783,0.5570955106959927,0.7197353055663682,0.6280570652173914,0.7025825571549534,4724.0,0.2909226237539043,0.016061806722210338
geom_only,5,180,0.030406213751819417,0.0007246624256765644,0.03039801601821357,0.5507683863885839,0.7812378357337485,0.6460647030420087,0.7713801862828111,4724.0,0.6399075593990033,0.007303817957713529
geom_only,5,250,0.014337033264256997,0.0005241155705438044,0.011727012921734947,0.5456135966008497,0.8497469832619696,0.6645357686453577,0.8469517358171041,4724.0,0.7763981419386192,0.0045289092797664975
geom_only,5,360,0.03226334636385003,-0.0010344372812794633,0.021807792804433346,0.5460992907801419,0.8991825613079019,0.6795116928960141,0.8954276037256562,4724.0,0.606965888963264,-0.007597154477306995
geom_only,5,500,0.03860409912581762,-0.001655124696113338,0.022049595490338803,0.5452284034373587,0.9384974698326197,0.68974395651552,0.9360711261642676,4724.0,0.5602508884156159,-0.009717547996162451
geom_only,10,60,0.20989113021814063,-0.002076652752150337,0.011786419868948794,0.5586854460093896,0.5918133129303749,0.5747724317295188,0.5866525423728813,4720.0,0.2399474875522084,-0.01714501526869364
geom_only,10,90,0.30345030076560386,-0.002551588927073979,0.0010658970658971034,0.5542087542087543,0.6296863045141545,0.589541547277937,0.6292372881355932,4720.0,0.1587109079113773,-0.020662926909543217
geom_only,10,120,0.45370283381768856,0.0029605451804269028,0.038984468202511,0.5669542984979227,0.6786534047436878,0.6177955772244472,0.6629237288135593,4720.0,0.11288438248973069,0.02346353516309102
geom_only,10,180,0.2645951083390086,0.0025198272994282345,0.03184218004516837,0.562070938215103,0.7517214996174445,0.6432078559738135,0.7406779661016949,4720.0,0.21544515134466308,0.018515313899315215
geom_only,10,250,0.043478413514213374,-0.0014435850098338168,0.02281221869392802,0.557941024314537,0.8251721499617445,0.6657407407407407,0.8190677966101695,4720.0,0.5552023192408317,-0.009317214750427672
geom_only,10,360,0.44200854574403786,0.004256202652941918,0.07998852343263796,0.56369349770365,0.8921193573068095,0.6908606132424825,0.8764830508474576,4720.0,0.11970095949918914,0.02347919580158116
geom_only,10,500,0.030639102740998642,-0.001456444815377423,0.0007064894640919084,0.5538979788257941,0.8806426931905126,0.6800590841949778,0.8805084745762712,4720.0,0.6088233831879376,-0.007920548123332594
geom_only,15,60,0.4102159747686632,-0.003540393933849551,0.013531924567839915,0.5660234581914491,0.5670962850644428,0.5665593637568643,0.5611464968152866,4710.0,0.09955242196758338,-0.024220232777392436
geom_only,15,90,0.46538333422306427,-0.005199929517723578,-0.01476820501663445,0.5542717086834734,0.6000758150113723,0.5762650163815072,0.6063694267515923,4710.0,0.0170795630361759,-0.035021869744491105
geom_only,15,120,0.6927158746441827,0.007407743175099953,0.07713484271689042,0.5864516129032258,0.689158453373768,0.6336702683861973,0.6581740976645435,4710.0,0.001129007697487573,0.0484381565969277
geom_only,15,180,0.008926589976706121,-0.00038707227130300656,0.01697266895974714,0.5645533141210375,0.7426080363912054,0.6414538310412573,0.7367303609341825,4710.0,0.8780604192937533,-0.0023500415764968574
