mode,horizon,lookback,robust_all,dqs_all,dqs_early_2000_2012,dqs_late_2013_2025,dqs_split_min,dqs_split_gap,wf_score
geom_only,60,90,0.6528037350575194,0.7944802109638218,0.7543386952878094,0.7671391009681,0.7543386952878094,0.012800405680290616,0.7479384924476641
geom_only,40,90,0.6299460861474633,0.777514583750464,0.7767102375809068,0.7356180269962215,0.7356180269962215,0.041092210584685374,0.7150719217038788
rise_only,60,120,0.6209703091278437,0.7664537618289283,0.7676015196757905,0.7088179588402622,0.7088179588402622,0.05878356083552827,0.6794261784224981
geom_only,120,60,0.6283594101966155,0.7930823144315755,0.7138539771761497,0.7911452325338854,0.7138539771761497,0.07729125535773562,0.6752083494972819
rise_only,40,180,0.6266421723051696,0.7426875543131795,0.7806988585242515,0.6465626554498571,0.6465626554498571,0.13413620307439433,0.5794945539126599
rise_only,60,90,0.6188443514802591,0.775191934641147,0.8144854627572474,0.5631716678776467,0.5631716678776467,0.2513137948796007,0.43751477043784637
arith_only,40,120,0.6490242158350308,0.737856027836485,0.7639722748099049,0.31850790047391303,0.31850790047391303,0.4454643743359919,0.09577571330591708
rise_only,40,120,0.630951236097336,0.7660683381708264,0.8280213145633402,0.288498070125784,0.288498070125784,0.5395232444375562,0.018736447907005904
rise_only,60,60,0.6019114796908696,0.7634490634125733,0.8282883189734973,0.2641518226425268,0.2641518226425268,0.5641364963309705,-0.017916425522958468
geom_only,60,60,0.6457208065369997,0.7784689078300788,0.23056695996908355,0.7482291476299302,0.23056695996908355,0.5176621876608467,-0.028264133861339802
arith_only,120,250,0.5928345684304619,0.7414461739315248,0.6573469055933306,0.1943767339344824,0.1943767339344824,0.46297017165884824,-0.037108351894941716
arith_only,60,180,0.5980821960202423,0.744011058505597,0.728830695716527,0.04365256979383882,0.04365256979383882,0.6851781259226882,-0.2989364931675053
arith_only,120,180,0.5921877955082394,0.7404278520317438,0.7358543923124421,0.033456186446755014,0.033456186446755014,0.7023982058656871,-0.31774291648608854
arith_only,40,90,0.5920448622566957,0.6993505864705494,0.7603803095609418,0.019886214706345454,0.019886214706345454,0.7404940948545964,-0.35036083272095275
geom_only,40,60,0.6483357334826344,0.7529948070103177,0.8134545962414972,0.01595719658880549,0.01595719658880549,0.7974973996526917,-0.38279150323754035
