mode,horizon,lookback,dqs,uplift_ret,uplift_win,precision,recall,f1,pass_rate,samples,p_norm,ic,pass_mean_ret,fail_mean_ret,error
geom_only,10,60,0.20989113021814063,-0.002076652752150337,0.011786419868948794,0.5586854460093896,0.5918133129303749,0.5747724317295188,0.5866525423728813,4720.0,0.2399474875522084,-0.01714501526869364,0.0093615318436145,0.011438184595764837,
geom_only,10,90,0.30345030076560386,-0.002551588927073979,0.0010658970658971034,0.5542087542087543,0.6296863045141545,0.589541547277937,0.6292372881355932,4720.0,0.1587109079113773,-0.020662926909543217,0.00927387694892506,0.01182546587599904,
geom_only,10,120,0.45370283381768856,0.0029605451804269028,0.038984468202511,0.5669542984979227,0.6786534047436878,0.6177955772244472,0.6629237288135593,4720.0,0.11288438248973069,0.02346353516309102,0.01121784050918749,0.008257295328760588,
geom_only,10,180,0.2645951083390086,0.0025198272994282345,0.03184218004516837,0.562070938215103,0.7517214996174445,0.6432078559738135,0.7406779661016949,4720.0,0.21544515134466308,0.018515313899315215,0.010873357719450404,0.00835353042002217,
geom_only,10,250,0.043478413514213374,-0.0014435850098338168,0.02281221869392802,0.557941024314537,0.8251721499617445,0.6657407407407407,0.8190677966101695,4720.0,0.5552023192408317,-0.009317214750427672,0.009958719962480439,0.011402304972314255,
geom_only,10,360,0.44200854574403786,0.004256202652941918,0.07998852343263796,0.56369349770365,0.8921193573068095,0.6908606132424825,0.8764830508474576,4720.0,0.11970095949918914,0.02347919580158116,0.010745624145756544,0.006489421492814626,
geom_only,10,500,0.030639102740998642,-0.001456444815377423,0.0007064894640919084,0.5538979788257941,0.8806426931905126,0.6800590841949778,0.8805084745762712,4720.0,0.6088233831879376,-0.007920548123332594,0.010045878166405273,0.011502322981782696,
geom_only,15,60,0.4102159747686632,-0.003540393933849551,0.013531924567839915,0.5660234581914491,0.5670962850644428,0.5665593637568643,0.5611464968152866,4710.0,0.09955242196758338,-0.024220232777392436,0.012789416800126166,0.016329810733975717,
geom_only,15,90,0.46538333422306427,-0.005199929517723578,-0.01476820501663445,0.5542717086834734,0.6000758150113723,0.5762650163815072,0.6063694267515923,4710.0,0.0170795630361759,-0.035021869744491105,0.012296279843737101,0.01749620936146068,
geom_only,15,120,0.6927158746441827,0.007407743175099953,0.07713484271689042,0.5864516129032258,0.689158453373768,0.6336702683861973,0.6581740976645435,4710.0,0.001129007697487573,0.0484381565969277,0.016875289575747812,0.009467546400647859,
geom_only,15,180,0.008926589976706121,-0.00038707227130300656,0.01697266895974714,0.5645533141210375,0.7426080363912054,0.6414538310412573,0.7367303609341825,4710.0,0.8780604192937533,-0.0023500415764968574,0.01424122670349162,0.014628298974794627,
geom_only,15,250,0.07144624493020843,0.0022071828743604697,0.05503166342717414,0.5696658097686376,0.8400303260045489,0.6789215686274511,0.8259023354564756,4710.0,0.4789720421352814,0.011537931322490659,0.01472739646429657,0.0125202135899361,
geom_only,15,360,0.5686418772472832,0.005259711803759051,0.0570159613765614,0.5685102142501246,0.865049279757392,0.6861094407696935,0.8522292993630574,4710.0,0.06216336511154339,0.025731384667123512,0.01512036237903982,0.00986065057528077,
geom_only,15,500,0.09075286093766491,0.002850813784169121,0.035785323303633376,0.5642256902761105,0.8908263836239575,0.6908716742613552,0.8842887473460722,4710.0,0.42086438006402843,0.0125713671127159,0.014673002314699242,0.01182218853053012,
geom_only,20,60,0.04110205960353445,-0.001388013414785054,0.012602525324808433,0.5682670667666917,0.572129909365559,0.5701919458035379,0.5666312433581296,4705.0,0.5694735387028733,-0.008345934398959065,0.017203835354390584,0.018591848769175637,
geom_only,20,90,0.008249207181918145,-0.00034150263165458675,0.002605022014612546,0.5638718963655991,0.5917673716012085,0.5774829555924083,0.5906482465462274,4705.0,0.8895022976285519,-0.0020375538121349623,0.017665562301081336,0.018007064932735923,
geom_only,20,120,0.6718048056216652,0.00859225323861205,0.04255627229403758,0.578697421981004,0.6442598187311178,0.6097212294496068,0.626567481402763,4705.0,0.0006389847518598068,0.050431200510284276,0.021013983769478384,0.012421730530866334,
geom_only,20,180,0.27687504599056295,0.0034385604338349647,0.002144654908071142,0.5634486945962356,0.7009063444108762,0.6247054863682262,0.7001062699256111,4705.0,0.19761855222874083,0.0191180936086837,0.018836559716747196,0.01539799928291223,
geom_only,20,250,0.18077135990279022,0.003338046513734221,0.0415561377654059,0.571505376344086,0.802870090634441,0.667713567839196,0.7906482465462275,4705.0,0.29543582912552807,0.016478762216028196,0.018504182892918733,0.015166136379184512,
geom_only,20,360,0.6119860731959508,0.006671888788055519,0.04167230813421585,0.5699974312869253,0.8379909365558912,0.6784895275951689,0.8274176408076515,4705.0,0.03498403109405956,0.03059226501699856,0.01895680730946982,0.012284918521414301,
geom_only,20,500,0.03468412276584524,0.0020524429583915586,0.013725958287911344,0.5645004849660524,0.879154078549849,0.687536916715889,0.8765143464399575,4705.0,0.6033380982141837,0.008193342474113262,0.01805880426226991,0.01600636130387835,
geom_only,30,60,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
geom_only,30,90,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
geom_only,30,120,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
geom_only,30,180,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
geom_only,30,250,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
geom_only,30,360,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
geom_only,30,500,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
geom_only,40,60,0.7529948070103177,0.018462810920147184,0.06830139956285686,0.6081730769230769,0.5630563798219584,0.5847457627118644,0.5335613510047028,4678.0,3.196843667423265e-05,0.05936023438716096,0.04185908143435389,0.02339627051420671,
geom_only,40,90,0.777514583750464,0.024340902030641952,0.076538955767402,0.609904761904762,0.5938427299703264,0.6017665852283406,0.5611372381359555,4678.0,2.4930249533307692e-08,0.07784736523846608,0.043929628343534484,0.019588726312892532,
geom_only,40,120,0.7585488628270993,0.020736865784402165,0.06622853710096877,0.6029306647605432,0.6257418397626113,0.6141244994539499,0.5981188542112014,4678.0,1.8504642370163173e-06,0.06552303686554094,0.0415810682336089,0.020844202449206737,
geom_only,40,180,0.6956098497212072,0.014241811580120983,0.03378472273994659,0.5884115884115884,0.6554154302670623,0.6201087910159677,0.6419410004275331,4678.0,0.0011474375769956208,0.04400463559730598,0.038346721658582515,0.024104910078461533,
geom_only,40,250,0.00673908622590269,0.0003857412155715556,0.006457818582981556,0.5781065088757397,0.7247774480712166,0.6431863067807767,0.7225309961522018,4678.0,0.9333757132066334,0.0011131145573885777,0.0333543440829325,0.03296860286736095,
geom_only,40,360,0.1839113779619297,0.004883717918530553,-0.00879402002668861,0.574173495337666,0.7537091988130564,0.6518043303929432,0.7565198802907225,4678.0,0.2764001191747025,0.013508304323123735,0.034436401075534986,0.029552683157004433,
geom_only,40,500,0.43892163978751353,0.007128303439854784,0.01726905413525215,0.5801317233809001,0.7841246290801187,0.6668769716088329,0.7789653698161607,4678.0,0.11942745690237548,0.019062671046269814,0.034822914766771317,0.027694611326916533,
geom_only,60,60,0.7784689078300788,0.022744179243883403,0.08269680038270932,0.6165029469548133,0.5815418828762046,0.5985123021171085,0.546137339055794,4660.0,0.0024047799384949967,0.04664882062775024,0.058727334666251324,0.03598315542236792,
geom_only,60,90,0.7944802109638218,0.033999553920861,0.07937358719209531,0.6143133462282399,0.5885841363973313,0.6011735756199129,0.5547210300429185,4660.0,4.007752452751397e-07,0.06961196020204792,0.06354388730251166,0.02954433338165066,
geom_only,60,120,0.7822067709273304,0.03240599774546972,0.06751638128613291,0.6079759217456734,0.5989621942179392,0.6034353995519043,0.5703862660944206,4660.0,1.0017224163365098e-06,0.06608550944022051,0.06232666264599746,0.029920664900527746,
geom_only,60,180,0.7461606553119784,0.023817326233617965,0.04694671073927725,0.597647897362794,0.6215715344699778,0.609375,0.6021459227467811,4660.0,0.0002407436470729848,0.04802451897292925,0.05788042130494538,0.03406309507132742,
geom_only,60,250,0.3164962571997816,0.00848131713144832,-0.014992431754878632,0.573960683209797,0.6601186063750927,0.6140320634373384,0.6658798283261803,4660.0,0.1752093954438736,0.01648047848246704,0.05123838008961005,0.04275706295816173,
geom_only,60,360,0.5600320307776181,0.011328862717568777,-0.004509868097401948,0.5776566757493188,0.7071905114899926,0.6358940176637228,0.7087982832618026,4660.0,0.06356598029360583,0.021203221227806372,0.05170358522567782,0.04037472250810904,
geom_only,60,500,0.005392502142228408,0.0003699185112136377,-0.0349629216025199,0.5697640547625983,0.7249814677538917,0.6380688305333551,0.7366952789699571,4660.0,0.952826879777662,0.00067117623024317,0.04850200224402938,0.048132083732815745,
arith_only,10,60,0.4510326028437338,-0.0032330266683282764,-0.007459812434074564,0.5501658374792703,0.5076511094108646,0.5280541185833665,0.5110169491525424,4720.0,0.06278459398373026,-0.027095659286161155,0.00863901573533985,0.011872042403668126,
arith_only,10,90,0.4643859197697529,-0.0045445842262226525,-0.020194986574919693,0.5444091990483743,0.5252486610558531,0.5346573208722742,0.5343220338983051,4720.0,0.009172607973144571,-0.038007072874784865,0.008103598239844991,0.012648182466067644,
arith_only,10,120,0.4606539677028474,-0.0032543422382837767,0.0026442981227234874,0.5549698795180723,0.5638867635807192,0.559392789373814,0.5627118644067797,4720.0,0.06582756138539393,-0.027065495757885947,0.008796825729128821,0.012051167967412598,
arith_only,10,180,0.016285089194112222,-0.0005640096382674431,0.010644826547349329,0.5579384296091318,0.617061973986228,0.5860127157129882,0.6125,4720.0,0.7562745930034158,-0.004606820660474782,0.010001357244261566,0.01056536688252901,
arith_only,10,250,0.18332620545206782,-0.002136945581656634,0.007950314840959094,0.5562710824900338,0.693955623565417,0.617531914893617,0.6908898305084745,4720.0,0.263885088836173,-0.016556952002863844,0.009559359368150153,0.011696304949806786,
arith_only,10,360,0.016334459572412186,0.0006184214434352166,0.016080645675822236,0.5574759945130315,0.7773527161438408,0.6493050007988497,0.7722457627118644,4720.0,0.7584329136863286,0.004348319230942736,0.010360759083262415,0.009742337639827198,
arith_only,10,500,0.024466695027845903,0.0007886570891802135,0.029322687224669575,0.5605726872246696,0.7788829380260138,0.6519372398334935,0.7694915254237288,4720.0,0.6838114968596121,0.005568772303609962,0.010401703121680895,0.009613046032500681,
arith_only,15,60,0.4592357638858784,-0.0064339510421104265,-0.007987289665631558,0.5559471365638766,0.4783927217589083,0.5142624286878565,0.4819532908704883,4710.0,0.002279885315523325,-0.044319361870807074,0.01101004391658425,0.017443994958694677,
arith_only,15,90,0.4489700122208402,-0.006219595250112921,-0.020492146534350497,0.5504218561671353,0.5193328278999242,0.5344255900136532,0.5284501061571125,4710.0,0.0033582615854090957,-0.04280127986917687,0.011410281600713473,0.017629876850826395,
arith_only,15,120,0.03682331355605249,-0.0011331147693749398,0.02857913627946318,0.5726755218216318,0.5720242608036391,0.572349706049687,0.559447983014862,4710.0,0.5993319420965245,-0.007754988632624221,0.01384393508352617,0.01497704985290111,
arith_only,15,180,0.05093503124941552,-0.001378382432705558,0.007223208757131561,0.5630646910010842,0.5905989385898408,0.5765032377428307,0.5874734607218683,4710.0,0.523878521592121,-0.009354457673599215,0.013774511745884153,0.01515289417858971,
arith_only,15,250,0.4328537593255988,-0.007776273926928411,-0.02183640335525161,0.5521941489361702,0.6296436694465504,0.5883811547998583,0.6386411889596603,4710.0,0.000602059572746999,-0.051498923320755466,0.011533105980091106,0.019309379907019517,
arith_only,15,360,0.005056524844255115,-2.7433096810839178e-05,0.008597277665074232,0.5626513317191283,0.7047005307050797,0.6257152473914507,0.7014861995753715,4710.0,0.990187340506945,-0.000173059490473364,0.01433494192266353,0.014362375019474368,
arith_only,15,500,0.6088613901888419,0.0045934293694265705,0.03478354458260746,0.5710738671632526,0.6974981046247157,0.6279863481228668,0.6840764331210191,4710.0,0.03559813167214667,0.02943805968255668,0.01579430367124586,0.01120087430181929,
arith_only,20,60,0.38385026463483807,-0.003987996429495166,-0.007027908662558979,0.5591011235955056,0.4697885196374622,0.5105684383336753,0.4729011689691817,4705.0,0.09623402416149948,-0.024159515839319853,0.01570328874601624,0.019691285175511407,
arith_only,20,90,0.013912120565200822,-0.0006505398461071205,0.010538518036609545,0.567937033968517,0.5177492447129909,0.5416831291979454,0.5130712008501594,4705.0,0.7872494403160868,-0.003945460482824116,0.017488590416094157,0.018139130262201278,
arith_only,20,120,0.013769197796992594,-0.0006412088732236261,0.014660678642714475,0.5696606786427145,0.5388972809667674,0.5538521249757422,0.5324123273113709,4705.0,0.7916325319534602,-0.003882016231623185,0.017505535637420286,0.018146744510643912,
arith_only,20,180,0.015176817574105205,0.0007030525936347828,0.006708678044195837,0.5657057281916885,0.570619335347432,0.5681519082534311,0.5676939426142402,4705.0,0.7732480119018598,0.00422612998643802,0.018109290897047305,0.017406238303412522,
arith_only,20,250,0.04503250856281289,0.0014628575665671037,0.029031416919718334,0.5737146748382703,0.6363293051359517,0.603401969561325,0.6242295430393199,4705.0,0.5683245306087705,0.008596818619339275,0.01835505565841553,0.016892198091848425,
arith_only,20,360,0.1194989440161855,0.0022769302467797077,0.0054274675388408244,0.5646085295989816,0.6699395770392749,0.6127806563039724,0.6678002125398512,4705.0,0.36452546393122454,0.013012924902802401,0.018561752746200023,0.016284822499420315,
arith_only,20,500,0.6231405066524217,0.006134810983464448,0.022883947640610303,0.5704270235818993,0.6759818731117825,0.6187348772900104,0.6669500531349628,4705.0,0.014122951637279932,0.035083650190343776,0.0198485554742281,0.013713744490763654,
arith_only,30,60,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
arith_only,30,90,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
arith_only,30,120,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
arith_only,30,180,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
arith_only,30,250,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
arith_only,30,360,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
arith_only,30,500,,,,,,,,,,,,,"h=30는 지원되지 않습니다. horizon 라벨(['1W', '2W', '3W', '1M', '2M', '3M', '6M']) 또는 offset([5, 10, 15, 20, 40, 60, 120])을 사용하세요."
arith_only,40,60,0.6320364478706532,0.009166588821305558,0.04384384721225176,0.6015075376884422,0.4439910979228487,0.5108834827144686,0.42539546814878154,4678.0,0.035751253173739346,0.02920767871987082,0.03851447633044372,0.029347887509138162,
arith_only,40,90,0.6993505864705494,0.012006632002633577,0.0569904564988466,0.6063205417607224,0.4981454005934718,0.5469354510283039,0.473492945703292,4678.0,0.007144661818725303,0.03863566507088423,0.03956888929983601,0.027562257297202436,
arith_only,40,120,0.737856027836485,0.014611809637767047,0.07031972098569039,0.6100164203612479,0.5511869436201781,0.5791114575214342,0.5207353569901667,4678.0,0.0014965663667227673,0.047044469239113804,0.04025023658187689,0.02563842694410984,
